Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU ASIC Power [W]","GPU PPT [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Memory Dedicated [MB]","GPU Memory Usage [MB]",
24.4.2026,13:52:13.452,40.0,40.0,30.000,30.012,1758.0,1730.0,1153,5226,
24.4.2026,13:52:13.664,40.0,40.0,29.000,29.751,275.0,1728.0,1153,5226,
24.4.2026,13:52:13.850,40.0,40.0,29.000,29.690,284.0,1728.0,1153,5226,
24.4.2026,13:52:14.058,40.0,41.0,29.000,29.579,1757.0,1730.0,1153,5226,
24.4.2026,13:52:14.259,40.0,41.0,30.000,29.691,1758.0,1730.0,1153,5226,
24.4.2026,13:52:14.465,40.0,40.0,30.000,29.865,1757.0,1728.0,1153,5226,
24.4.2026,13:52:14.667,40.0,40.0,29.000,29.994,1758.0,1730.0,1153,5226,
24.4.2026,13:52:14.871,40.0,41.0,29.000,29.647,1751.0,1728.0,1153,5226,
24.4.2026,13:52:15.073,40.0,40.0,29.000,29.676,1756.0,1730.0,1153,5226,
24.4.2026,13:52:15.278,40.0,40.0,29.000,29.455,1758.0,1730.0,1153,5226,
24.4.2026,13:52:15.485,40.0,41.0,29.000,29.510,1758.0,1730.0,1153,5226,
24.4.2026,13:52:15.691,40.0,41.0,29.000,29.603,1758.0,1728.0,1153,5226,
24.4.2026,13:52:15.890,40.0,40.0,29.000,29.502,309.0,1730.0,1153,5226,
24.4.2026,13:52:16.095,40.0,41.0,29.000,29.665,280.0,1730.0,1153,5226,
24.4.2026,13:52:16.296,40.0,41.0,29.000,29.588,1758.0,1730.0,1153,5226,
24.4.2026,13:52:16.504,40.0,40.0,29.000,29.608,1758.0,1730.0,1153,5226,
24.4.2026,13:52:16.708,40.0,40.0,29.000,29.612,1758.0,1730.0,1153,5226,
24.4.2026,13:52:16.913,40.0,41.0,29.000,29.672,262.0,1730.0,1153,5226,
24.4.2026,13:52:17.119,40.0,40.0,29.000,29.592,289.0,1730.0,1153,5226,
24.4.2026,13:52:17.322,40.0,41.0,29.000,29.424,1757.0,1728.0,1153,5226,
24.4.2026,13:52:17.524,40.0,41.0,29.000,29.665,1757.0,1730.0,1153,5226,
24.4.2026,13:52:17.728,40.0,41.0,30.000,29.859,1757.0,1730.0,1153,5226,
24.4.2026,13:52:17.936,40.0,41.0,30.000,30.076,1758.0,1730.0,1153,5226,
24.4.2026,13:52:18.141,40.0,41.0,30.000,30.330,1758.0,1728.0,1153,5226,
24.4.2026,13:52:18.345,40.0,41.0,30.000,30.146,1758.0,1730.0,1153,5226,
24.4.2026,13:52:18.535,40.0,41.0,30.000,30.217,1757.0,1730.0,1153,5226,
24.4.2026,13:52:18.753,40.0,41.0,30.000,30.407,1758.0,1730.0,1153,5226,
24.4.2026,13:52:18.941,40.0,41.0,30.000,30.349,1758.0,1728.0,1153,5226,
24.4.2026,13:52:19.147,40.0,41.0,30.000,30.307,1757.0,1730.0,1153,5226,
24.4.2026,13:52:19.352,40.0,41.0,29.000,30.324,268.0,1730.0,1153,5226,
24.4.2026,13:52:19.557,40.0,41.0,30.000,30.129,298.0,1730.0,1153,5226,
24.4.2026,13:52:19.761,40.0,41.0,30.000,30.084,1754.0,1730.0,1153,5226,
24.4.2026,13:52:19.963,40.0,41.0,30.000,30.001,1756.0,1730.0,1153,5226,
24.4.2026,13:52:20.165,40.0,41.0,30.000,30.297,1758.0,1730.0,1153,5226,
24.4.2026,13:52:20.367,40.0,41.0,30.000,30.403,1728.0,1730.0,1153,5226,
24.4.2026,13:52:20.569,40.0,41.0,30.000,30.172,1750.0,1730.0,1153,5226,
24.4.2026,13:52:20.785,40.0,41.0,30.000,30.125,1756.0,1730.0,1153,5226,
24.4.2026,13:52:20.974,40.0,41.0,30.000,30.238,290.0,1728.0,1153,5226,
