Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU ASIC Power [W]","GPU PPT [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU D3D Memory Dedicated [MB]","GPU Memory Usage [MB]",
19.4.2026,13:49:58.381,50.0,52.0,28.000,28.012,1756.0,1730.0,2626,4740,
19.4.2026,13:49:58.586,50.0,52.0,27.000,28.113,1737.0,1730.0,2626,4740,
19.4.2026,13:49:58.786,50.0,51.0,28.000,27.986,1757.0,1730.0,2626,4740,
19.4.2026,13:49:58.988,51.0,52.0,28.000,27.934,1749.0,1730.0,2626,4740,
19.4.2026,13:49:59.189,50.0,52.0,27.000,27.891,1756.0,1730.0,2626,4740,
19.4.2026,13:49:59.392,50.0,52.0,28.000,27.818,1754.0,1730.0,2626,4740,
19.4.2026,13:49:59.593,50.0,51.0,27.000,27.963,1757.0,1730.0,2626,4740,
19.4.2026,13:49:59.796,50.0,52.0,28.000,27.934,1756.0,1730.0,2626,4740,
19.4.2026,13:49:59.997,50.0,52.0,27.000,27.892,1741.0,1730.0,2626,4740,
19.4.2026,13:50:0.202,50.0,52.0,27.000,27.968,1756.0,1730.0,2626,4740,
19.4.2026,13:50:0.406,50.0,52.0,28.000,27.953,1757.0,1730.0,2626,4740,
19.4.2026,13:50:0.607,50.0,51.0,27.000,27.625,1756.0,1728.0,2626,4740,
19.4.2026,13:50:0.823,51.0,52.0,27.000,27.645,1725.0,1728.0,2626,4740,
19.4.2026,13:50:1.023,50.0,52.0,27.000,27.693,1757.0,1728.0,2626,4740,
19.4.2026,13:50:1.226,50.0,52.0,27.000,27.601,1754.0,1730.0,2626,4740,
19.4.2026,13:50:1.425,50.0,52.0,27.000,27.565,1757.0,1730.0,2626,4740,
19.4.2026,13:50:1.625,50.0,52.0,27.000,27.779,1754.0,1730.0,2626,4740,
19.4.2026,13:50:1.828,50.0,51.0,27.000,27.666,1728.0,1730.0,2626,4740,
19.4.2026,13:50:2.029,50.0,52.0,27.000,27.687,1756.0,1730.0,2626,4740,
19.4.2026,13:50:2.232,50.0,52.0,27.000,27.804,1757.0,1728.0,2626,4740,
19.4.2026,13:50:2.435,50.0,52.0,28.000,27.799,1757.0,1730.0,2626,4740,
19.4.2026,13:50:2.650,50.0,52.0,27.000,27.969,1757.0,1730.0,2626,4740,
19.4.2026,13:50:2.851,50.0,52.0,28.000,27.875,1755.0,1730.0,2626,4740,
19.4.2026,13:50:3.052,50.0,52.0,27.000,27.846,1756.0,1728.0,2626,4740,
