Date,Time,"GPU Temperature [°C]","GPU Hot Spot Temperature [°C]","GPU Power (Total) [W]","GPU Rail Powers (avg) [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Memory Usage [%]","GPU D3D Memory Dedicated [MB]",
25.4.2026,11:30:40.641,44.2,52.1,52.150,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:40.847,44.2,52.0,52.145,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:41.044,44.2,52.0,52.417,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:41.246,44.2,52.0,52.132,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:41.454,44.2,51.9,52.385,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:41.655,44.2,51.9,52.258,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:41.860,44.2,52.1,52.458,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:42.059,44.2,52.0,52.616,0.000,480.0,202.5,12.8,823,
25.4.2026,11:30:42.263,44.2,52.0,52.439,0.000,480.0,202.5,12.8,823,
25.4.2026,11:30:42.467,44.2,52.0,52.411,0.000,495.0,202.5,12.8,823,
25.4.2026,11:30:42.669,44.2,52.0,52.207,0.000,495.0,202.5,12.8,823,
25.4.2026,11:30:42.873,44.2,52.0,52.350,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:43.075,44.2,52.1,53.087,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:43.277,44.2,52.0,52.249,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:43.481,44.3,52.0,52.775,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:43.685,44.3,52.0,52.437,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:43.886,44.2,52.1,52.734,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:44.089,44.3,52.0,52.861,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:44.295,44.3,52.1,52.498,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:44.498,44.2,52.0,52.082,0.000,510.0,202.5,12.8,823,
25.4.2026,11:30:44.700,44.3,52.0,52.135,0.000,465.0,202.5,12.8,823,
25.4.2026,11:30:44.908,44.3,52.1,52.125,0.000,450.0,202.5,12.8,823,
25.4.2026,11:30:45.110,44.3,52.1,52.101,0.000,450.0,202.5,12.8,823,
